year,ucdp_death_dummy,ucdp_25death_dummy,llnlight01,l2lnrain01,l2meanpdsi
1994,.0594129,.024081562,-1.7983563,3.7459428,-1.9377195
1995,.043768678,.014238003,-2.1552134,3.7417302,-2.0158737
1996,.035155565,.012831781,-1.6804919,3.753798,-2.2908189
1997,.044120234,.019511338,-1.651014,3.8013465,-1.5791419
1998,.069876052,.029998204,-1.9039247,4.0838885,-.086064696
1999,.0594129,.022675339,-1.7261076,3.8975527,-.87274575
2000,.059588678,.018280894,-1.6956893,3.7782032,-.78584224
2001,.04921779,.017402004,-1.7123004,3.8836751,-1.0538008
2002,.060116012,.018280894,-1.4506165,3.7219009,-1.4146969
2003,.0562489,.013886448,-1.4114547,3.7806122,-1.5983402
2004,.044471789,.010546669,-1.6967132,3.8155766,-1.9368445
2005,.03146423,.0080857798,-1.5658733,3.900744,-.51185441
2006,.030585339,.007910002,-1.5386415,3.8676391,-1.0621161
2007,.035682898,.0052733347,-1.4257149,3.7404549,-1.2710176
2008,.037089121,.0082615577,-1.2825754,3.866677,-.86355257
2009,.034276675,.0087888911,-1.3204253,3.8751345,-.52652782
2010,.02425734,.005976446,-1.3893408,3.8639669,-.83038992
