country,group
10,G1
11,G1
13,G1
14,G1
31,G1
34,G1
35,G1
37,G1
43,G1
46,G1
49,G1
51,G1
53,G1
58,G1
59,G1
60,G1
62,G1
63,G1
64,G1
65,G1
69,G1
75,G1
78,G1
85,G1
86,G1
90,G1
91,G1
94,G1
105,G1
108,G1
109,G1
111,G1
112,G1
114,G1
121,G1
129,G1
135,G1
136,G1
137,G1
138,G1
142,G1
144,G1
149,G1
156,G1
157,G1
161,G1
163,G1
164,G1
170,G1
176,G1
177,G1
182,G1
188,G1
189,G1
192,G1
200,G1
202,G1
6,G2
15,G2
16,G2
25,G2
26,G2
30,G2
32,G2
36,G2
38,G2
39,G2
42,G2
50,G2
52,G2
55,G2
72,G2
80,G2
83,G2
84,G2
89,G2
92,G2
96,G2
101,G2
116,G2
118,G2
120,G2
125,G2
128,G2
133,G2
134,G2
141,G2
143,G2
150,G2
158,G2
159,G2
171,G2
173,G2
175,G2
181,G2
183,G2
199,G2
201,G2
