pstate,ptau
Alabama,4.363772
Arkansas,1.602062
Colorado,.5620076000000001
Connecticut,-12.33612
Delaware,7.397501
Georgia,-9.805595
Idaho,6.796991
Illinois,-10.34609
Indiana,13.62666
Iowa,7.585228
Kansas,-1.320875
Kentucky,14.72085
Louisiana,2.718416
Maine,-4.713577
Minnesota,-2.162459
Mississippi,8.47512
Missouri,7.179818
Montana,11.64183
Nebraska,4.862716
Nevada,-13.27283
New Hampshire,-4.750683
New Mexico,.1850531
North Carolina,-1.160941
North Dakota,-.3102136
Ohio,.3672313
Oklahoma,3.609092
Pennsylvania,-.1926111
Rhode Island,-31.75704
South Carolina,2.139461
South Dakota,9.232625000000001
Tennessee,5.03314
Texas,-15.21842
Utah,6.668712
Vermont,-7.783791
Virginia,-12.24319
West Virginia,14.86168
Wisconsin,3.022942
Wyoming,5.556545
