year,ca_actual,did_cf,sc_synth,sdid_cf,sdid_synth,ctrl_mean,sc_effect,lambda
1970,123,105.72521,117.3614,116.53354,141.88596,120.08421,5.6386032,0
1971,121,109.50416,119.7564,119.85039,145.2028,123.86316,1.2435989,0
1972,123.5,114.81995,124.5763,124.47505,149.82747,129.17896,-1.0763016,0
1973,124.4,117.18047,124.3053,123.77081,149.12323,131.53947,.094703674,0
1974,126.7,120.30943,126.4153,124.84123,150.19365,134.66843,.28469849,0
1975,127.1,122.57258,126.7159,125.064,150.41641,136.93158,.38410187,0
1976,128,126.90153,128.4025,129.38229,154.73471,141.26053,-.40249634,0
1977,126.4,126.73048,126.6217,127.15019,152.50261,141.08948,-.22170258,0
1978,126.1,126.11468,126.0853,125.44559,150.798,140.47368,.014701843,0
1979,121.9,123.72784,122.8776,121.56772,146.92014,138.08684,-.9776001,0
1980,120.2,123.73048,120.1817,120.01715,145.36957,138.08948,.018295288,0
1981,118.6,123.62785,119.6467,119.31151,144.66393,137.98685,-1.0466995,0
1982,115.4,121.93574,116.4915,116.42958,141.782,136.29474,-1.0914993,0
1983,110.8,116.891,110.9973,111.70778,137.0602,131.25,-.19729614,0
1984,104.8,110.54363,103.4059,103.74825,129.10066,124.90263,1.394104,0
1985,102.8,108.75679,103.1442,101.83054,127.18295,123.11579,-.3441925,0
1986,99.699997,106.23573,99.5867,98.583557,123.93597,120.59473,.11329651,.36647063
1987,97.5,103.22784,100.42319,97.311821,122.66424,117.58685,-2.9231949,.20645306
1988,90.099998,99.464684,91.926895,91.148979,116.5014,113.82368,-1.8268967,.42707631
1989,82.400002,95.304153,90.803795,87.24498,112.5974,109.66315,-8.4037933,.083333336
1990,77.800003,91.306786,86.979004,82.125816,107.47823,105.66579,-9.1790009,.083333336
1991,68.699997,89.983101,81.308601,77.353546,102.70596,104.3421,-12.608604,.083333336
1992,67.5,89.035736,81.203697,75.919121,101.27154,103.39474,-13.703697,.083333336
1993,63.400002,88.335732,80.9067,75.945465,101.29788,102.69473,-17.506699,.083333336
1994,58.599998,87.759422,80.620499,74.70623,100.05865,102.11842,-22.0205,.083333336
1995,56.400002,88.798897,79.2257,75.305771,100.65819,103.1579,-22.825699,.083333336
1996,54.5,86.825211,78.465103,73.850143,99.20256,101.18421,-23.965103,.083333336
1997,53.799999,87.430473,80.0214,74.683517,100.03593,101.78947,-26.221401,.083333336
1998,52.299999,86.598892,75.5979,75.081573,100.43399,100.95789,-23.297901,.083333336
1999,47.200001,83.235733,74.680397,73.144928,98.497345,97.594734,-27.480396,.083333336
2000,41.599998,77.775208,68.163902,66.084885,91.437302,92.134209,-26.563904,.083333336
