coef,se,ci_l,ci_u,event_time,period_type
.13074084,1.6119801,-3.0287399,3.2902217,-12,pre
.41310656,1.0080394,-1.5626506,2.3888638,-11,pre
.48766562,1.2608337,-1.9835685,2.9588997,-10,pre
.75785315,1.1925145,-1.5794754,3.0951817,-9,pre
.54438668,1.2085319,-1.8243358,2.9131091,-8,pre
.52741849,1.3432215,-2.1052959,3.1601329,-7,pre
.5156405,1.3415093,-2.1137178,3.1449988,-6,pre
.46543586,1.3908,-2.2605321,3.1914039,-5,pre
.28327489,1.3340739,-2.3315101,2.8980598,-4,pre
.13939187,1.163741,-2.1415405,2.4203243,-3,pre
.24214798,1.1370217,-1.9864144,2.4707105,-2,pre
-.21841663,.57401681,-1.3434896,.90665638,-1,pre
4.0864043,1.0647522,1.9994898,6.1733184,0,post
9.1644421,1.5724646,6.0824108,12.246472,1,post
7.9385047,2.21875,3.5897546,12.287254,2,post
7.1981382,2.5539997,2.1922989,12.203978,3,post
7.0008698,2.7976053,1.5175635,12.484176,4,post
6.8282728,3.2593832,.43988174,13.216664,5,post
6.8640614,3.6399703,-.27028039,13.998404,6,post
6.302866,3.9750741,-1.4882792,14.094011,7,post
6.089694,3.835474,-1.4278351,13.607224,8,post
8.7780857,4.2829165,.38356912,17.172604,9,post
8.185586,4.6743727,-.97618425,17.347357,10,post
6.3490205,5.1280079,-3.7018752,16.399916,11,post
5.5872331,5.3550901,-4.9087434,16.08321,12,post
5.5754242,5.4528337,-5.1121297,16.26298,13,post
