cohort,country,omega
2000,Argentina,.061052214
2000,Guatemala,.056579273
2000,Austria,.044890229
2000,Grenada,.040035523
2000,Mauritius,.037974533
2000,Cote d'Ivoire,.032175194
2000,South Africa,.030632127
2000,Switzerland,.030469373
2000,St. Lucia,.030412154
2000,Cape Verde,.028333487
2000,Zimbabwe,.027703587
2000,Portugal,.025331074
2000,Suriname,.025082611
2000,New Zealand,.024810039
2000,Spain,.023237245
2000,Luxembourg,.022642227
2000,Namibia,.020052169
2000,Thailand,.017908785
2000,Benin,.017208638
2000,Barbados,.015840936
2000,Indonesia,.01337334
2000,Malaysia,.013019421
2000,Netherlands,.012920163
2000,St. Vincent and the Grenadines,.012756066
2000,Equatorial Guinea,.012509941
2000,Cyprus,.011592655
2000,Zambia,.011531248
2000,Japan,.010300698
2000,Colombia,.0098336302
2000,Armenia,.0096209627
2000,Brazil,.0092079081
2000,Mozambique,.0086857369
2000,Ireland,.0083251093
2000,Cameroon,.0077121346
2000,Norway,.0074250335
2000,Sweden,.0070978599
2000,Hungary,.0069462396
2000,Belgium,.0069410168
2000,"Iran, Islamic Rep.",.0069304118
2000,Sri Lanka,.0066951155
2000,Lebanon,.0066656945
2000,"Korea, Rep.",.0066074207
2000,Malta,.0066040279
2000,Turkey,.0063415822
2000,Lesotho,.0063192411
2000,Maldives,.0062099742
2000,Solomon Islands,.0059558195
2000,Panama,.005629193
2000,Italy,.0055788402
2000,Kuwait,.0055651525
2000,United Arab Emirates,.0055439835
2000,Gabon,.0055015744
2000,Bolivia,.0054615433
2000,Mexico,.0054280544
2000,Albania,.0053612893
2000,Singapore,.0053250142
2000,Australia,.00527388
2000,Greece,.005211879
2000,Canada,.0051515335
2000,Paraguay,.0050284946
2000,Syrian Arab Republic,.0049602436
2000,United States,.0049128705
2000,"Korea, Dem. Rep.",.004833743
2000,Senegal,.0048242453
2000,Papua New Guinea,.0047316714
2000,"Yemen, Rep.",.0045786016
2000,India,.0045050429
2000,Jamaica,.004361297
2000,Honduras,.0039842241
2000,"Bahamas, The",.0039522415
2000,Cambodia,.0038380015
2000,France,.0035017887
2000,Germany,.0033908731
2000,Poland,.0033897187
2000,Costa Rica,.003125139
2000,United Kingdom,.0028933203
2000,Vietnam,.0028554571
2000,El Salvador,.0027215381
2000,Guinea-Bissau,.0018661424
2000,Dominican Republic,.001741366
2000,Bulgaria,.0015710678
2000,Lao PDR,.0014523155
2000,Chile,.00072848785
2000,Denmark,.00038996674
2000,Guyana,.00033033875
2002,Guinea-Bissau,.023621386
2002,Cameroon,.023441866
2002,Trinidad and Tobago,.02256367
2002,Indonesia,.020710763
2002,Norway,.01971503
2002,Russian Federation,.019077413
2002,Tonga,.018690877
2002,Zimbabwe,.018056879
2002,Finland,.017681807
2002,Equatorial Guinea,.017605973
2002,Benin,.016675254
2002,Solomon Islands,.016580559
2002,Ireland,.016212955
2002,Sri Lanka,.015514889
2002,Luxembourg,.015429501
2002,Lesotho,.015320546
2002,Lebanon,.015062925
2002,Italy,.014725133
2002,Maldives,.014720824
2002,Colombia,.014704976
2002,"Iran, Islamic Rep.",.01469525
2002,United Arab Emirates,.014305335
2002,Kuwait,.014258082
2002,Brazil,.014109301
2002,Paraguay,.013920137
2002,"Korea, Dem. Rep.",.013874127
2002,Guatemala,.013833703
2002,"Yemen, Rep.",.013674513
2002,Bolivia,.013437127
2002,Sao Tome and Principe,.013295845
2002,India,.013155877
2002,Malawi,.013102418
2002,Nicaragua,.012673925
2002,Jamaica,.01233507
2002,Togo,.012065662
2002,Syrian Arab Republic,.011992925
2002,Hungary,.01170944
2002,Papua New Guinea,.011635402
2002,Guyana,.01150153
2002,United States,.011461374
2002,Panama,.011439672
2002,Austria,.011254341
2002,Turkey,.011153233
2002,Canada,.010925544
2002,El Salvador,.010787559
2002,Greece,.01054829
2002,Thailand,.010544436
2002,Honduras,.010338509
2002,Mauritius,.010229927
2002,Cote d'Ivoire,.010220003
2002,Barbados,.0099979239
2002,Zambia,.0099968091
2002,Cambodia,.0097698551
2002,Switzerland,.0094801439
2002,Nepal,.0093605444
2002,"Korea, Rep.",.0092924898
2002,Belize,.0092389081
2002,Cape Verde,.0092157386
2002,Japan,.0091930265
2002,Senegal,.009105891
2002,Malaysia,.0090727927
2002,Kiribati,.0089493711
2002,Chile,.0089374939
2002,Israel,.0088920267
2002,Dominican Republic,.0085860305
2002,Cyprus,.0078560011
2002,France,.0075746491
2002,Gabon,.0073671942
2002,Denmark,.0072267493
2002,"Venezuela, RB",.0070851385
2002,Albania,.0068660644
2002,Poland,.0061939964
2002,Uruguay,.0059917821
2002,Philippines,.0059686778
2002,Singapore,.005700157
2002,"Bahamas, The",.0054576532
2002,Costa Rica,.0054484601
2002,Tunisia,.0053121666
2002,Cuba,.0049742451
2002,St. Vincent and the Grenadines,.0049297879
2002,Sweden,.0046961308
2002,Mexico,.0045877807
2002,New Zealand,.0040871245
2002,Armenia,.0040099975
2002,Germany,.0034575122
2002,Malta,.0033734813
2002,Vietnam,.0033615516
2002,Angola,.0030839271
2002,United Kingdom,.0022886945
2002,Portugal,.0021150804
2002,South Africa,.002039467
2002,Australia,.0013410874
2002,Mozambique,.0012320083
2002,St. Lucia,.00082718016
2002,Lao PDR,.00079974014
2002,Romania,.00064596254
2002,Netherlands,.00041971981
2003,Lao PDR,.055776246
2003,Guinea-Bissau,.051441282
2003,Malawi,.049561337
2003,"Congo, Rep.",.044065006
2003,Togo,.042911902
2003,Spain,.042413428
2003,Cuba,.041015286
2003,Cambodia,.03943846
2003,Ecuador,.0389691
2003,Australia,.033104889
2003,Vietnam,.032992508
2003,United Kingdom,.032525554
2003,St. Vincent and the Grenadines,.030477421
2003,Angola,.028198401
2003,Belgium,.027527444
2003,"Bahamas, The",.027065819
2003,Iceland,.027039193
2003,Bulgaria,.025256716
2003,Philippines,.02444992
2003,Kiribati,.023894876
2003,Sao Tome and Principe,.022599915
2003,Romania,.021209495
2003,Trinidad and Tobago,.020677185
2003,Cyprus,.018603966
2003,Costa Rica,.018481068
2003,Singapore,.017946845
2003,France,.016990678
2003,Finland,.015423412
2003,Nicaragua,.015050532
2003,Mongolia,.011751189
2003,Israel,.010954968
2003,"Venezuela, RB",.010776958
2003,Suriname,.010410864
2003,Senegal,.010049707
2003,Malta,.0094259046
2003,Guyana,.0081289383
2003,Japan,.0075664027
2003,Denmark,.0070453747
2003,"Korea, Rep.",.0069916351
2003,Honduras,.0060168961
2003,Dominican Republic,.0059045344
2003,Uruguay,.0031204256
2003,Poland,.0027379701
2003,Greece,.0022061514
2003,Botswana,.001305173
2003,Lesotho,.00049902819
2005,Belgium,.07005924
2005,Paraguay,.060121018
2005,Cuba,.05495007
2005,Mexico,.043475702
2005,Equatorial Guinea,.038148902
2005,Trinidad and Tobago,.036909848
2005,Singapore,.035628028
2005,Guinea-Bissau,.034680758
2005,Cameroon,.027253395
2005,Costa Rica,.02611682
2005,Brazil,.025665183
2005,Lesotho,.024947185
2005,Indonesia,.024513071
2005,Luxembourg,.023113551
2005,Bolivia,.022371961
2005,Barbados,.020515503
2005,Russian Federation,.020452211
2005,Norway,.020160548
2005,Guyana,.019550068
2005,Togo,.017832333
2005,Austria,.017052662
2005,Italy,.015997054
2005,Finland,.015488513
2005,Panama,.014605178
2005,Syrian Arab Republic,.014562426
2005,Switzerland,.013912868
2005,Nicaragua,.013733438
2005,Ireland,.013161421
2005,Tonga,.012667571
2005,"Korea, Rep.",.012301722
2005,Malawi,.01228199
2005,Benin,.012078402
2005,St. Vincent and the Grenadines,.011881576
2005,Tunisia,.011643634
2005,Zimbabwe,.011549257
2005,Greece,.011049859
2005,Cambodia,.010264847
2005,Cyprus,.0098443665
2005,Hungary,.0095663918
2005,"Iran, Islamic Rep.",.0078509701
2005,Sri Lanka,.0077098557
2005,Solomon Islands,.0072691296
2005,El Salvador,.0069048428
2005,United States,.0068559088
2005,Senegal,.0068060244
2005,Lebanon,.0067926599
2005,Armenia,.0063427598
2005,Maldives,.0057942998
2005,Colombia,.005626325
2005,United Arab Emirates,.0048256475
2005,Kuwait,.0048230025
2005,Israel,.0044822996
2005,"Korea, Dem. Rep.",.0041990578
2005,"Bahamas, The",.0037549944
2005,Guatemala,.0035965072
2005,Spain,.0028874902
2005,Thailand,.0028383152
2005,Zambia,.0026850495
2005,Canada,.0021375704
2005,Sao Tome and Principe,.0020341852
2005,South Africa,.0018180567
2005,India,.00092917733
2005,Poland,.00092730206
2010,Paraguay,.032718632
2010,Ireland,.028055571
2010,Cuba,.026465738
2010,Norway,.026093019
2010,Nepal,.024419777
2010,Belgium,.023370944
2010,United States,.023342207
2010,Indonesia,.023081847
2010,Sao Tome and Principe,.021672223
2010,Mexico,.021122288
2010,Brazil,.020818593
2010,Luxembourg,.020406576
2010,Finland,.020325018
2010,Tonga,.019442881
2010,Colombia,.019336063
2010,"Bahamas, The",.018865496
2010,Trinidad and Tobago,.018654345
2010,Solomon Islands,.018272338
2010,Jamaica,.017811975
2010,Benin,.017581582
2010,"Iran, Islamic Rep.",.017498355
2010,Russian Federation,.017366061
2010,Lebanon,.017327495
2010,Zimbabwe,.016399328
2010,Bolivia,.016248768
2010,Guinea-Bissau,.016009828
2010,Canada,.015790064
2010,Malawi,.015481547
2010,Kuwait,.015307011
2010,Syrian Arab Republic,.015198546
2010,Cameroon,.015104012
2010,Sri Lanka,.014530821
2010,Israel,.014413334
2010,Switzerland,.014291815
2010,Angola,.013286047
2010,Barbados,.013003141
2010,India,.01268068
2010,Togo,.012016189
2010,Guatemala,.011513917
2010,Italy,.011320116
2010,"Korea, Dem. Rep.",.011081297
2010,Panama,.010982194
2010,Nicaragua,.010968053
2010,Kiribati,.010920836
2010,Netherlands,.010826942
2010,Singapore,.010457475
2010,El Salvador,.010326969
2010,Maldives,.010183867
2010,Papua New Guinea,.0093989205
2010,Austria,.0092694527
