cohort,year,y_treated,y_synth
2000,1990,11,9.170085
2000,1991,11,8.749114
2000,1992,11,8.8138533
2000,1993,11,9.411027
2000,1994,11,11.270771
2000,1995,17.5,13.277369
2000,1996,17.5,14.355844
2000,1997,17.5,14.950123
2000,1998,17.5,15.110861
2000,1999,16.4,15.184611
2000,2000,22.299999,15.399384
2000,2001,22.299999,16.164192
2000,2002,22.299999,16.674187
2000,2003,21.4,17.019886
2000,2004,21.4,18.120474
2000,2005,30.4,19.340456
2000,2006,30.4,19.086128
2000,2007,30.4,20.936661
2000,2008,30.4,19.988085
2000,2009,30.700001,20.506723
2000,2010,30.700001,20.050182
2000,2011,36,20.445934
2000,2012,36,20.626122
2000,2013,36,22.527975
2000,2014,36,22.950495
2000,2015,36,22.987827
2002,1990,0,10.327972
2002,1991,0,10.043174
2002,1992,0,9.9821892
2002,1993,.30000001,9.986721
2002,1994,.30000001,10.1928
2002,1995,.30000001,10.240403
2002,1996,.30000001,10.23769
2002,1997,.30000001,10.284086
2002,1998,.30000001,10.474599
2002,1999,.30000001,10.612468
2002,2000,.30000001,10.516144
2002,2001,.30000001,10.955308
2002,2002,5.4000001,11.722465
2002,2003,10.8,12.087097
2002,2004,10.8,13.259864
2002,2005,10.8,13.968065
2002,2006,10.8,14.195875
2002,2007,12.15,15.681304
2002,2008,12.15,15.675857
2002,2009,12.15,16.137733
2002,2010,12.15,16.344761
2002,2011,15.4,16.92627
2002,2012,15.4,17.487827
2002,2013,14.85,18.75197
2002,2014,14.85,19.488558
2002,2015,14.844646,19.493343
2003,1990,8.5500002,13.010521
2003,1991,8.5500002,12.239165
2003,1992,8.5500002,12.394082
2003,1993,9.1999998,11.133636
2003,1994,2.8000002,9.9648104
2003,1995,2.8000002,9.8063488
2003,1996,2.8000002,10.446039
2003,1997,8.5500002,12.081549
2003,1998,8.5500002,13.458485
2003,1999,8.5500002,14.735857
2003,2000,12.85,15.092258
2003,2001,13.5,16.687611
2003,2002,13.5,17.381353
2003,2003,27.15,18.216669
2003,2004,27.15,19.189276
2003,2005,27.15,19.364918
2003,2006,27.15,19.958242
2003,2007,27.6,20.540852
2003,2008,31.35,21.257532
2003,2009,31.35,22.618141
2003,2010,33.549999,22.618301
2003,2011,33.549999,23.085144
2003,2012,33.549999,23.8043
2003,2013,38,24.526228
2003,2014,37.900002,24.643576
2003,2015,37.875,25.001493
2005,1990,3.5999999,12.505505
2005,1991,3.5999999,12.40511
2005,1992,3.5999999,12.088309
2005,1993,3.0999999,11.113812
2005,1994,3.0999999,11.579836
2005,1995,3.0999999,11.575874
2005,1996,3.0999999,11.451054
2005,1997,3.0999999,11.409041
2005,1998,3.0999999,11.835565
2005,1999,3.0999999,12.355648
2005,2000,3.0999999,12.249599
2005,2001,3.0999999,12.948944
2005,2002,3.0999999,14.337509
2005,2003,10.8,16.762455
2005,2004,10.8,18.558693
2005,2005,10.8,18.708101
2005,2006,10.8,18.948195
2005,2007,10.8,20.347004
2005,2008,13.8,20.214153
2005,2009,13.6,21.156065
2005,2010,13.6,21.266613
2005,2011,13.6,21.732185
2005,2012,13.6,22.656404
2005,2013,6.1999998,24.369066
2005,2014,6.1999998,25.644442
2005,2015,6.1538458,25.705288
2010,1990,1.1,10.034581
2010,1991,1.1,10.356818
2010,1992,3,10.61085
2010,1993,3,10.737342
2010,1994,3,11.197933
2010,1995,3,11.249566
2010,1996,3,11.16378
2010,1997,3,11.360386
2010,1998,3.5999999,11.86723
2010,1999,3.5999999,12.288923
2010,2000,3.5999999,12.196637
2010,2001,3.5999999,12.552785
2010,2002,3.5999999,13.236759
2010,2003,7.0999999,14.387239
2010,2004,7.0999999,15.188217
2010,2005,7.0999999,15.557566
2010,2006,7.3000002,15.630941
2010,2007,7.1999998,16.546751
2010,2008,9.8000002,17.554825
2010,2009,9.8000002,18.172798
2010,2010,9.8000002,18.520329
2010,2011,9.8000002,19.122801
2010,2012,9.8000002,19.563866
2010,2013,18.6,20.751158
2010,2014,19.1,21.290941
2010,2015,19.714279,21.373392
2012,1990,2.4000001,12.152124
2012,1991,2.4000001,13.098166
2012,1992,10,13.657748
2012,1993,10,14.425247
2012,1994,6.6999998,13.72801
2012,1995,6.6999998,12.983926
2012,1996,6.6999998,12.72469
2012,1997,3.2,11.965516
2012,1998,3.2,11.953633
2012,1999,3.2,11.93426
2012,2000,3.4000001,11.821697
2012,2001,3.4000001,12.186999
2012,2002,6.1999998,13.169108
2012,2003,6.1999998,13.272231
2012,2004,6.1999998,14.134129
2012,2005,6.1999998,14.476198
2012,2006,6.1999998,14.303914
2012,2007,7.6999998,15.555245
2012,2008,7.6999998,15.124619
2012,2009,7.6999998,15.468189
2012,2010,7.6999998,15.512611
2012,2011,8,16.32848
2012,2012,31.6,16.808491
2012,2013,31.6,18.51643
2012,2014,31.6,18.663864
2012,2015,31.60173,18.598909
2013,1990,0,8.6174612
2013,1991,4.3000002,9.7483616
2013,1992,4.3000002,9.9020557
2013,1993,4.3000002,10.305115
2013,1994,4.3000002,10.587677
2013,1995,4.3000002,10.766693
2013,1996,4.0999999,11.104787
2013,1997,4.0999999,11.205976
2013,1998,4.0999999,11.418026
2013,1999,8.1999998,13.265889
2013,2000,8.1999998,13.258695
2013,2001,6.0999999,13.168757
2013,2002,6.0999999,13.253064
2013,2003,6.0999999,13.098941
2013,2004,6.0999999,12.995551
2013,2005,6.0999999,13.508395
2013,2006,6.0999999,13.602519
2013,2007,8.1999998,14.705906
2013,2008,8.1999998,14.034372
2013,2009,8.1999998,13.645328
2013,2010,8.1999998,13.488445
2013,2011,4.0999999,13.048306
2013,2012,4.0999999,13.245472
2013,2013,4.0999999,14.424277
2013,2014,6.0999999,15.360704
2013,2015,6.1224489,15.331609
